,LRCX,JNPR,ETN,DHR,MTD,TPR,PXD,INTU,RL,WEC,HSY,PTC,PHM,CNC,UDR,AKAM,L,GL,MHK,AEE,POOL,ALGN,DVA,VRTX,PG,WELL,FBHS,IRM,AMZN,O,XLNX,MSFT,GE,AFL,PEG,ADM,SYK,PGR,AEP,PENN,DISH,COST,AVY,IPG,FB,INCY,EOG,EQIX,TXT,ILMN,CDNS,BKNG,DAL,LDOS,AIZ,CTAS,WAB,GD,GRMN,EW,ROST,MOS,CMG,CTLT,NXPI,PNR,CNP,DRE,GOOG,ES,CTVA,ROL,SPGI,NEE,PSX,CME,DLR,TMO,ALL,CL,PCAR,WLTW,UAA,UAL,DOV,WMT,FOXA,PAYX,CB,AWK,AMGN,KMB,CPB,WAT,A,AMCR,HAS,EFX,ADBE,HBI,SNPS,HIG,NFLX,V,ABT,ADSK,BMY,REG,WBA,CBOE,CERN,CHTR,CAG,CAH,LMT,CZR,AMP,TMUS,NRG,TFX,ANSS,GIS,HCA,VNO,REGN,AIG,CTXS,CE,WM,MO,WRK,CSX,CSCO,TJX,DHI,UPS,DE,TSLA,NDAQ,RMD,MCO,LKQ,NOC,GLW,ED,FE,KEYS,IQV,ABMD,AAP,MCHP,IVZ,TTWO,DTE,SEE,HD,DXC,AOS,GWW,LEN,WST,MPC,D,HON,IR,CCL,SYY,TSCO,SPG,MET
bookValue,42.296,13.398,38.655,55.321,8.281,11.661,92.794,36.119,36.925,34.336,10.994,14.708,26.756,44.444,9.229,27.461,69.587,84.345,127.006,36.379,21.797,42.869,12.097,35.492,18.73,37.676,22.074,3.965,226.883,31.142,12.686,18.884,30.502,50.202,31.504,38.608,36.648,31.071,42.739,18.775,25.908,35.359,19.046,7.309,47.046,12.406,34.789,118.079,26.543,33.712,9.137,116.051,0.756,27.197,95.995,36.334,53.701,54.761,29.748,7.492,10.229,25.348,74.489,21.804,30.111,13.2,10.855,13.842,342.743,41.444,32.474,2.01,4.284,19.056,41.06,74.05,59.255,89.2,82.163,0.31,30.887,89.367,3.873,16.089,24.312,27.927,19.01,8.261,131.374,36.276,16.225,1.534,9.644,3.734,15.756,3.331,21.223,27.264,28.979,1.388,33.353,48.58,29.059,16.084,18.889,5.129,16.842,35.248,24.424,28.094,14.29,111.292,17.193,6.151,22.705,22.178,47.436,52.62,6.2,72.24,47.189,14.531,0.74,26.927,115.545,72.37,2.024,31.447,17.596,1.573,41.637,17.363,9.539,5.089,35.961,8.215,48.381,23.901,38.553,18.618,10.844,19.323,65.389,14.413,55.652,13.532,19.22,31.07,29.371,53.954,19.512,22.835,30.518,64.792,1.114,1.641,22.23,11.523,34.849,63.375,24.783,34.1,30.164,25.896,21.358,17.503,2.729,16.025,9.199,83.5
trailingEps,26.9,0.622,4.696,7.517,29.87,2.95,1.354,7.56,2.309,4.09,6.881,2.009,6.183,1.22,0.03,3.51,5.722,7.315,49.89534,3.636,13.125,8.773,7.434,7.585,5.5,1.387,5.138,2.099,57.395,0.991,3.068,8.05,-2.59,8.322,2.92,4.102,5.457,9.291,4.69,2.812,3.877,9.779,7.509,1.109,11.671,2.181,-1.044,4.556,1.879,4.28,2.34,17.101,-20.507,4.36,7.176,9.136,2.182,11.0,5.468,1.349,2.441,2.691,14.272,2.953,1.502,2.476,-1.793,0.963,75.04,3.604,-1.28,0.63,10.158,2.11,-4.878,5.33,1.562,19.873,11.366,3.11,4.061,10.94,0.258,-22.677,5.099,4.32,3.356,2.92,12.316,3.958,12.073,6.668,2.658,9.875,2.597,0.313,2.966,4.931,11.538,-0.944,5.138,4.688,8.263,4.838,3.191,5.836,-2.764,0.877,-0.712,4.555,2.612,17.693,2.43,3.906,24.783,-12.332,-0.532,2.647,1.25,5.892,5.257,4.119,13.382,-1.839,35.128,-4.44,3.283,17.842,3.66,2.331,-2.608,3.529,2.419,1.236,8.626,5.922,14.504,0.998,6.15,3.129,10.716,2.493,27.155,1.41,3.389,2.468,3.995,2.1,4.94,9.309,1.29,1.529,5.09,7.359,3.221,13.718,-11.209,2.401,14.091,10.789,5.568,-15.142,0.966,6.532,-0.21,-13.02,-0.481,7.22,3.554,5.68
priceToBook,13.470067,2.0898643,3.8972967,5.464833,167.83842,3.2604408,1.8824493,15.060493,3.108734,2.5518408,15.533927,8.1935005,1.7240993,1.4186392,5.8012786,3.8410838,0.7942576,1.0702472,1.4111931,2.2158387,20.06698,15.443794,9.6676855,5.081427,7.452216,2.2255547,4.0722117,11.089534,14.47116,2.1145077,11.971464,15.309257,3.4692807,1.0545397,1.9191214,1.5748031,7.318817,2.926845,1.9041157,4.188016,1.7430909,12.679374,11.007561,5.177179,7.2909493,5.498146,2.4119694,6.684677,2.6760352,11.71215,16.746197,21.16199,60.02646,3.5823803,1.6563362,10.659988,1.6498761,3.6197293,5.2141323,14.986652,10.860299,1.4912419,24.548592,6.050724,6.4059644,5.520455,2.2938738,3.525502,7.962963,1.9747127,1.3395332,17.726368,99.99066,4.156696,1.7674135,2.6548276,2.4480634,6.4206276,1.554471,243.80646,2.5722797,2.6959617,5.3679323,3.191,6.4527807,4.9074373,2.1451867,13.938992,1.3351958,4.6405334,13.184591,86.16688,4.3063045,95.25978,9.900356,3.5094564,4.197804,9.401042,19.927187,12.586454,9.069348,1.4617126,21.100176,14.328526,6.205199,55.383114,3.5334284,1.9655015,1.9161481,4.393821,4.922323,6.631923,1.9600999,8.130385,15.318212,5.3877716,5.66089,2.40897,6.5580645,5.3055096,7.3055162,4.1717706,334.85135,1.6151075,4.93998,0.766616,53.572136,4.875505,8.515572,29.154484,1.2231909,1.7473938,5.7804804,13.089015,2.328912,22.092514,7.0730247,32.434628,5.02503,14.083146,33.12892,2.6522796,5.519583,2.5657392,1.2865665,2.6492758,8.60666,7.7743807,11.008477,3.855136,7.8264666,1.0768558,5.194967,1.7235153,49.55117,201.01157,1.5623032,5.336284,11.427875,1.478501,16.936207,1.8639297,2.3965654,8.32754,2.3817773,1.4906015,29.615242,12.565367,14.473311,0.7487425
enterpriseToEbitda,16.769,14.195,22.072,25.707,33.53,9.174,18.852,51.745,10.651,14.953,16.653,38.226,5.878,8.976,30.582,17.032,5.764,10.357,7.215,13.279,25.219,52.082,10.426,17.187,16.839,29.857,12.008,16.352,28.592,22.193,36.548,26.289,24.347,7.03,13.171,12.093,24.216,7.688,13.191,16.62,8.567,23.759,16.141,10.444,19.381,31.14,6.666,32.076,14.033,71.509,48.16,96.713,-7.167,13.289,8.661,25.905,15.667,13.181,19.609,42.874,16.17,6.659,65.354,27.983,19.012,19.804,13.053,36.349,22.948,15.241,9.689,35.623,25.411,24.627,-60.805,24.327,26.49,18.907,4.005,17.371,13.613,14.14,16.417,-5.392,16.788,11.092,7.947,24.859,12.172,22.722,11.961,12.894,10.673,26.443,30.143,12.381,14.542,25.4,52.617,9.507,49.798,6.914,42.652,31.088,21.379,84.2,8.95,23.416,20.876,16.159,18.418,12.303,10.657,7.116,10.406,46.52,12.887,9.746,11.166,27.288,48.331,11.72,9.291,24.649,9.292,6.752,26.593,12.18,16.41,9.488,8.868,13.31,14.631,29.541,9.503,17.492,16.969,138.28,21.565,39.544,23.265,12.379,12.056,10.341,11.034,11.42,23.995,26.33,54.206,12.984,22.986,9.471,16.411,13.388,11.922,15.677,7.122,18.999,13.818,8.137,45.84,13.128,16.295,19.588,19.093,-13.278,31.852,15.927,20.691,17.696
enterpriseToRevenue,5.491,2.089,3.77,8.694,9.684,2.098,4.43,15.277,1.703,5.335,4.52,9.003,1.045,0.384,18.203,5.575,1.304,2.201,1.295,5.874,3.757,14.772,2.151,6.13,4.763,11.536,2.094,5.536,3.826,20.114,10.831,12.64,2.097,1.722,5.014,0.586,6.892,1.254,4.909,4.256,2.064,1.011,2.559,2.068,9.632,5.554,3.109,13.536,1.456,15.401,15.01,12.69,2.603,1.462,0.906,6.091,2.64,1.748,5.863,14.552,2.319,1.543,6.8,6.677,5.998,3.856,3.977,21.096,7.871,5.084,2.062,8.072,14.215,11.977,0.576,15.38,13.469,6.58,0.896,4.554,1.605,3.575,1.914,2.5,3.421,0.792,1.989,10.127,2.421,11.335,5.83,2.794,2.062,9.437,8.647,1.941,2.894,7.927,20.95,1.391,11.11,1.134,9.228,21.23,5.93,16.327,3.798,13.932,0.611,4.083,4.367,4.749,2.298,0.113,1.593,9.875,2.201,3.334,1.272,7.522,16.951,2.654,2.009,10.618,5.072,1.482,5.217,2.959,4.724,5.467,1.342,7.385,4.57,2.361,1.63,1.947,3.54,17.51,6.477,13.055,12.252,1.543,1.786,2.866,3.913,4.048,6.548,4.537,16.799,1.499,9.254,2.599,4.159,3.076,2.302,2.724,0.762,3.622,1.879,1.492,13.304,0.644,7.293,4.811,3.741,358.7,1.049,2.176,14.858,1.831
beta,1.255458,0.830786,1.1512,0.707969,1.000545,1.528384,1.941593,1.021834,1.5131,0.175764,0.360262,1.210152,1.433951,0.461244,0.735807,0.437772,0.933951,1.144104,1.54858,0.2762,0.774563,1.684497,1.282205,0.62882,0.420851,1.049126,1.63155,0.825873,1.143558,0.741812,1.007096,0.77893,1.078056,1.004912,0.562227,0.87882,0.986899,0.467794,0.261462,2.546943,2.156147,0.649563,1.009825,1.055131,1.295305,0.797062,2.176976,0.30131,1.796943,0.971318,1.016137,1.259279,1.413125,0.8881,0.662117,1.479257,1.660869,1.125136,1.007641,1.074233,1.021288,1.87036,1.352173,1.427401,1.406659,1.137008,0.980895,0.525543,0.998924,0.324781,0.819498,0.531113,0.948689,0.170652,1.678493,0.43286,0.1381,0.75,0.853146,0.596739,0.991812,0.81576,1.298034,1.579148,1.370087,0.478711,1.271301,0.913932,0.731576,0.223776,0.672489,0.524456,0.579881,0.800218,0.993006,0.421288,0.987089,1.425764,0.964497,1.519104,1.079148,1.106508,0.75326,0.97762,0.67519,1.331521,0.587882,1.142467,0.455434,0.65393,0.729891,1.001613,0.821739,1.067778,0.971615,3.180434,1.682625,0.548034,0.829347,1.186681,1.210869,0.560391,1.663259,1.367903,0.156659,1.385917,0.062772,1.231845,0.817139,0.661572,1.273913,1.137008,0.894566,0.98531,1.644236,1.054039,1.069868,1.995108,0.847161,0.304134,1.146834,1.667934,0.837336,1.135371,0.154891,0.22826,0.930607,1.451033,1.302313,1.371705,1.671397,1.284004,0.53548,0.633187,1.271288,1.024563,2.46834,1.06343,1.21834,1.493471,1.003275,2.16703,0.36572,1.180131,1.516565,2.307692,1.42383,1.027838,1.552947,1.312227
quickRatio,2.482,1.242,0.454,1.688,0.791,1.733,0.448,1.651,1.638,0.361,0.604,1.07,0.834,1.005,0.004,3.202,0.488,0.401,1.08,0.432,0.93,1.117,1.522,4.159,0.453,1.204,0.956,0.668,0.989,0.801,5.069,1.898,0.854,0.477,0.385,0.376,1.185,0.247,0.268,2.519,0.974,0.475,0.824,0.941,5.095,3.729,1.476,1.501,1.218,4.059,1.342,1.937,0.742,0.839,0.128,0.733,0.595,0.857,1.863,2.552,1.321,0.62,1.644,1.806,1.67,0.627,0.623,1.091,3.027,0.319,1.34,0.593,2.001,0.301,0.706,0.012,0.746,1.921,0.17,0.542,3.709,0.245,1.463,1.266,1.015,0.357,2.653,0.422,0.168,0.382,0.861,0.376,0.399,1.772,1.479,0.673,1.109,0.614,1.179,0.722,1.024,1.109,1.157,1.623,1.161,0.399,1.213,1.198,0.189,0.588,1.811,0.428,0.28,0.453,1.101,0.869,1.79,0.761,0.611,1.512,2.529,0.441,1.03,7.262,2.923,0.212,0.592,1.349,0.758,0.347,0.828,2.144,1.357,0.955,0.676,1.294,1.98,1.281,0.208,0.904,2.124,0.756,1.312,0.947,0.447,0.553,2.072,0.883,5.407,0.352,1.176,1.071,1.444,1.379,0.725,0.296,0.883,1.435,1.373,1.996,2.236,1.493,0.19,1.071,2.526,1.084,1.161,0.678,0.501,0.802
targetHighPrice,815.0,34.0,195.0,365.0,1640.0,67.0,259.0,695.0,179.0,110.0,202.0,180.0,89.0,93.0,62.0,179.0,60.0,135.0,256.0,101.0,600.0,825.0,207.0,331.0,164.0,102.0,137.0,53.0,5000.0,86.0,169.0,411.0,144.0,62.0,73.0,76.0,311.0,126.0,112.0,140.0,88.0,525.0,255.0,41.0,500.0,130.0,122.0,969.0,95.0,560.0,175.0,3100.0,73.0,124.0,209.0,450.0,110.0,254.0,180.0,135.0,153.0,50.0,2250.0,162.0,260.0,100.0,29.0,66.0,3400.0,102.0,59.0,42.0,491.0,109.3,113.0,250.0,200.0,626.0,175.0,98.0,120.0,290.0,38.0,78.0,196.0,190.0,54.0,125.0,231.0,190.0,298.0,164.0,54.0,425.0,195.0,13.5,128.0,330.0,750.0,27.0,350.0,93.0,971.0,309.0,158.0,400.0,144.0,78.0,68.0,140.0,94.0,1000.0,41.0,68.0,479.0,144.0,317.0,250.0,53.0,486.0,430.0,71.0,290.0,53.0,825.0,65.0,145.0,205.0,177.0,68.0,81.0,40.0,70.0,101.0,142.0,250.0,480.0,1591.0,222.0,312.0,450.0,65.0,478.0,54.0,83.78,48.0,192.0,300.0,425.0,256.0,210.0,40.0,253.0,146.0,72.0,411.0,53.0,85.0,525.0,160.0,475.0,83.0,96.0,270.0,64.0,40.0,97.0,232.0,177.0,75.0
targetLowPrice,640.0,19.0,153.0,272.0,1150.0,40.0,177.0,535.0,110.0,86.0,170.0,150.0,56.0,67.0,49.0,119.0,60.0,96.0,170.0,83.0,450.0,500.0,113.0,175.0,124.0,68.0,95.0,18.0,3775.0,70.0,100.0,280.0,96.0,54.0,63.0,55.0,239.0,82.0,81.0,31.0,28.0,249.0,157.0,25.0,225.0,67.0,78.0,712.0,74.0,350.0,122.7,1890.0,45.0,109.0,183.0,353.0,84.0,157.0,147.0,71.0,130.0,32.0,1256.0,122.0,189.0,64.0,26.0,50.0,2700.0,85.0,35.0,33.0,455.0,78.0,73.0,190.0,145.0,535.0,130.0,66.0,81.0,220.0,8.0,43.0,165.0,127.0,29.0,92.0,153.0,156.0,185.0,123.0,38.0,298.0,158.0,11.5,93.0,230.0,550.0,10.0,184.0,68.0,340.0,202.0,109.0,265.0,66.0,68.0,40.0,102.0,72.0,682.0,34.0,50.0,385.0,112.0,265.0,129.0,42.0,415.0,275.0,50.0,150.0,39.0,545.0,49.0,85.0,110.0,148.0,45.0,45.0,21.0,52.0,73.0,97.0,130.0,265.0,67.0,175.0,230.0,372.0,60.0,335.0,41.0,66.0,38.0,160.0,235.0,269.0,138.0,155.0,26.0,175.0,108.0,52.0,244.0,34.0,50.0,378.0,100.0,375.0,56.0,76.0,200.0,52.0,18.0,80.0,170.0,130.0,68.0
targetMeanPrice,730.78,27.59,177.84,331.45,1461.0,53.39,207.31,615.91,143.29,97.33,185.0,163.31,67.4,83.1,57.05,132.31,60.0,108.43,227.33,91.31,513.14,743.46,142.56,258.59,153.0,91.5,118.46,40.13,4149.52,78.31,147.07,336.28,124.09,57.7,68.9,67.54,287.84,97.08,97.74,99.57,53.44,445.65,233.0,37.91,415.54,102.0,99.85,895.58,83.75,464.61,159.51,2538.12,55.58,116.27,191.6,407.1,93.89,216.11,163.29,119.36,140.47,40.42,1865.03,150.25,234.26,79.2,27.83,55.8,3103.33,90.94,51.05,38.33,473.33,91.24,90.6,221.47,166.14,581.02,146.92,86.6,97.29,249.64,27.04,60.61,181.18,168.56,42.09,108.86,193.53,178.13,250.0,139.18,46.53,356.85,173.35,12.61,114.77,277.94,646.31,22.91,325.59,76.57,615.81,278.05,132.05,350.02,80.24,71.61,52.25,123.08,84.95,821.59,37.17,57.79,429.47,126.91,292.5,171.03,47.3,462.55,389.77,63.21,266.62,46.09,677.04,57.92,115.6,178.09,159.33,55.23,63.07,36.47,59.81,84.48,113.12,217.5,411.48,704.31,198.38,261.67,408.0,62.11,412.05,48.45,75.42,42.21,179.67,278.16,387.33,233.19,180.26,30.85,212.79,127.7,65.38,345.34,44.92,74.9,473.67,117.25,423.0,70.07,84.96,243.62,59.33,28.42,90.2,201.92,149.76,71.8
