,loan_status,annual_inc,verification_status,emp_length,home_ownership,int_rate,loan_amnt,purpose,term,grade
1,Charged Off,30000.0,Source Verified,< 1 year,RENT,15.27,2500,car,60,C
8,Charged Off,40000.0,Source Verified,4 years,OWN,21.28,5600,small_business,60,F
9,Charged Off,15000.0,Verified,< 1 year,RENT,12.69,5375,other,60,B
12,Charged Off,30000.0,Source Verified,< 1 year,RENT,13.49,9000,debt_consolidation,36,C
14,Charged Off,100000.0,Source Verified,3 years,RENT,10.65,10000,other,36,B
21,Charged Off,105000.0,Verified,10+ years,RENT,12.42,21000,debt_consolidation,36,B
24,Charged Off,76000.0,Not Verified,1 year,RENT,11.71,6000,major_purchase,36,B
26,Charged Off,60000.0,Not Verified,9 years,RENT,14.27,15000,debt_consolidation,36,C
27,Charged Off,50004.0,Not Verified,2 years,RENT,16.77,5000,other,60,D
46,Charged Off,100000.0,Source Verified,10+ years,MORTGAGE,8.9,5000,debt_consolidation,36,A
50,Charged Off,80000.0,Not Verified,8 years,MORTGAGE,9.91,15000,debt_consolidation,36,B
53,Charged Off,50000.0,Not Verified,4 years,RENT,15.96,12000,car,36,C
55,Charged Off,50000.0,Verified,7 years,RENT,19.91,21000,debt_consolidation,60,E
64,Charged Off,45996.0,Verified,10+ years,RENT,10.65,10000,debt_consolidation,60,B
66,Charged Off,30000.0,Source Verified,5 years,RENT,17.27,12500,debt_consolidation,60,D
68,Charged Off,75000.0,Source Verified,4 years,RENT,21.28,8200,small_business,60,F
71,Charged Off,75000.0,Not Verified,5 years,RENT,16.77,6400,debt_consolidation,36,D
97,Charged Off,45000.0,Not Verified,7 years,MORTGAGE,17.27,17500,credit_card,60,D
100,Charged Off,25000.0,Not Verified,2 years,RENT,9.91,6200,debt_consolidation,36,B
105,Charged Off,38000.0,Verified,10+ years,RENT,16.77,18825,debt_consolidation,60,D
114,Charged Off,75000.0,Source Verified,1 year,RENT,18.25,10000,credit_card,36,D
120,Charged Off,67000.0,Verified,10+ years,MORTGAGE,13.49,25000,credit_card,60,C
121,Charged Off,45000.0,Verified,4 years,RENT,10.65,19750,debt_consolidation,36,B
124,Charged Off,52000.0,Verified,10+ years,RENT,19.91,28000,debt_consolidation,60,E
131,Charged Off,90000.0,Source Verified,8 years,MORTGAGE,15.96,24000,home_improvement,36,C
137,Charged Off,41000.0,Verified,10+ years,RENT,6.62,11100,credit_card,36,A
145,Charged Off,42000.0,Not Verified,2 years,RENT,9.91,12000,debt_consolidation,36,B
151,Charged Off,60000.0,Not Verified,8 years,RENT,11.71,10000,debt_consolidation,36,B
153,Charged Off,25000.0,Verified,10+ years,RENT,13.49,13475,credit_card,60,C
155,Charged Off,85000.0,Not Verified,1 year,MORTGAGE,14.65,5600,debt_consolidation,36,C
174,Charged Off,65000.0,Not Verified,5 years,RENT,13.49,10000,small_business,36,C
